acree	1
alford	0
altha	0
americus	0
apalachicola	1
attapulgus	1
baconton	1
barwick	1
bayou george	1
benevolence	0
blountstown	1
bluffton	1
bonifay	0
brewton	1
bridgeboro	1
brinson	0
bronwood	1
cadwell	0
cairo	0
callaway	0
calvary	0
camilla	0
carrabelle	1
chaires	0
chattahoochee	1
chipley	0
colquitt	1
compass lake	1
cordele	0
cotton	0
cottondale	1
coverdale	1
crawfordville	1
creels	0
cuthbert	0
dalkeith	1
dawesville	1
dawson	0
dekle beach	1
doles	0
donalsonville	1
east dublin	0
eastpoint	0
ebro	0
econfina	1
eldorendo	1
elmodel	1
eridu	0
esto	0
faceville	1
foley	0
fort gaines	1
fowlstown	1
frink	0
gordy	0
graceville	1
grand ridge	1
hampton springs	1
hardaway	0
highland view	1
hinson	0
hosford	0
indian pass	1
izagora	1
jacobs	0
jakin	0
jamieson	0
lanark village	1
leary	1
leslie	0
lower grand lagoon	1
lynn haven	1
marianna	0
medart	1
meigs	0
mexico beach	0
miccosukee	1
morgan	0
newton	0
norfleet	1
ochlocknee	1
omega	0
panacea	0
panama city	0
panama city beach	0
pelham	0
perry	0
pine log	0
pine park	0
pinland	0
ponce de leon	0
port saint joe	1
poulan	0
pretty bayou	0
putney	0
raines	0
rebecca	0
red head	0
rentz	0
resota beach	1
saint marks	0
saint teresa	0
sale city	0
sasser	0
shellman	0
shingler	0
sink creek	1
sneads	0
sopchoppy	1
steinhatchee	1
sumatra	0
sumter	1
sylvester	0
tallahassee	1
telogia	0
tennille	0
tifton	1
ty ty	0
upper grand lagoon	1
wakulla	1
wakulla beach	1
ward ridge	0
wewahitchka	1
whigham	1
wilma	0
