abbottsburg	1
angier	1
ansonville	1
archer lodge	0
ashley heights	1
atkinson	0
autryville	1
ayden	0
aynor	1
bahama	0
bald head island	1
barker ten mile	1
bayboro	1
beaufort	1
bell arthur	1
belville	1
belvoir	1
bennettsville	1
beulaville	1
bladenboro	1
blenheim	1
bogue	0
boiling spring lakes	1
bolivia	0
bonlee	0
bonnetsville	1
bowmore	0
briarcliffe acres	1
brices creek	1
brogden	1
buies creek	1
bunnlevel	1
burgaw	0
butters	0
calabash	0
calypso	0
cape carteret	1
carolina beach	0
carolina shores	0
carrboro	1
castle hayne	1
caswell beach	1
chadbourn	1
chapel hill	1
cheraw	1
cherry grove beach	1
chocowinity	1
clayton	0
coats	0
cove city	1
coward	0
darlington	0
delco	0
delway	1
dillon	1
dobbins heights	1
dundarrach	1
dunn	0
durham	0
east arcadia	1
east laurinburg	1
east rockingham	1
eastover	1
effingham	1
efland	1
ellerbe	1
elm city	1
elrod	0
elroy	0
emerald isle	0
engelhard	0
ernul	0
erwin	0
fair bluff	0
fairfield harbour	1
faison	1
falcon	0
fayetteville	1
fearrington village	1
five points	0
floydale	1
forest oaks	0
forestbrook	1
fort barnwell	1
four oaks	0
foxfire	0
galivants ferry	1
gibsonville	1
godwin	0
goldsboro	0
goldston	0
gorman	0
grantsboro	1
graves	0
greenevers	1
greensboro	1
greenville	1
grifton	1
grimesland	1
half moon	0
hallsboro	1
hamlet	0
harrells	0
hartsville	1
havelock	1
hemby bridge	1
high point	1
hobucken	0
holden beach	1
holly ridge	1
hookerton	1
hope mills	1
indian beach	0
indian trail	0
ingold	0
jaars	0
james city	1
keener	0
kenansville	1
kenly	0
kings grant	1
kinston	0
kure beach	1
lake waccamaw	1
latta	0
laurinburg	1
leland	0
lilesville	1
lillington	1
little river	0
loris	0
lucama	1
lumber bridge	1
lumberton	1
mamers	0
mar-mac	1
marietta	0
marshallberg	1
marvin	0
maury	0
maxton	1
mcbee	0
mccoll	0
mcfarlan	0
mcleansville	1
merrimon	1
mesic	0
micro	0
mineral springs	0
minnesott beach	1
moncure	1
mont clare	1
morehead city	1
mount croghan	1
mount olive	0
mullins	0
murraysville	1
murrells inlet	1
myrtle beach	1
navassa	1
neuse forest	1
new bern	1
newton grove	1
nichols	0
nixons crossroads	1
north hartsville	1
north myrtle beach	1
north topsail beach	1
northwest	0
oak island	1
ocean isle beach	1
ocracoke	1
olanta	1
old hundred	0
oriental	0
orrum	0
pageland	1
pamlico beach	1
pamplico	1
parkton	0
patetown	1
patrick	0
pawleys island	1
peachland	1
pee dee	0
peletier	1
pine knoll shores	1
pinebluff	1
pinehurst	0
pinetown	0
piney green	0
pink hill	0
pittsboro	1
plain view	0
pleasant garden	0
polkton	1
pollocksville	1
potters hill	1
pumpkin center	0
quinby	0
raeford	0
raemon	1
rains	0
red hill	0
red springs	0
rennert	0
riegelwood	1
river bend	0
river road	0
rockfish	0
rockingham	1
roseboro	1
rougemont	0
rowland	0
ruby	0
saint pauls	0
salemburg	1
salter path	0
sandyfield	1
sea breeze	0
sealevel	0
sellers	0
seven lakes	0
seven springs	0
shallotte	1
siler city	1
skippers corner	1
sneads ferry	1
socastee	1
south wadesboro	1
southern pines	0
spiveys corner	1
spring lake	0
stallings	0
stantonsburg	1
stedman	0
stokesdale	1
sunset beach	0
surfside beach	0
swanquarter	1
swansboro	1
tabor city	1
tar heel	0
teachey	0
timmonsville	1
topsail beach	1
tramway	0
trent woods	1
vanceboro	0
vandemere	0
vander	0
vann crossroads	1
varnamtown	1
vass	0
wadesboro	1
wagram	0
wakulla	1
wallace	0
walstonburg	1
watha	0
waxhaw	1
weddington	1
west smithfield	1
whispering pines	0
white lake	0
whiteville	1
whitsett	0
wilmington	1
wilsons mills	0
wingate	0
winnabow	1
winterville	1
wrightsboro	1
wrightsville beach	1
